start,end,duration,samples,position,symmetric,top_track_id,top_athlete_id,bottom_track_id,bottom_athlete_id
6237.0,6238.0,1.0,1,back,False,track_0,,,
6238.0,6240.0,2.0,2,unknown,False,,,,
6240.0,6242.0,2.0,2,standing,True,,,,
6242.0,6243.0,1.0,1,unknown,False,,,,
6243.0,6244.0,1.0,1,standing,True,,,,
6244.0,6245.0,1.0,1,unknown,False,,,,
6245.0,6246.0,1.0,1,takedown,False,,,track_0,
6246.0,6250.0,4.0,4,unknown,False,,,,
6250.0,6251.0,1.0,1,back,False,track_0,,,
6251.0,6252.0,1.0,1,standing,True,,,,
6252.0,6254.0,2.0,2,unknown,False,,,,
6254.0,6255.0,1.0,1,back,False,track_0,,,
6255.0,6270.0,15.0,15,unknown,False,,,,
6270.0,6271.0,1.0,1,back,False,track_0,,,
6271.0,6272.0,1.0,1,unknown,False,,,,
6272.0,6273.0,1.0,1,back,False,track_0,,,
6273.0,6276.0,3.0,3,unknown,False,,,,
6276.0,6277.0,1.0,1,back,False,track_0,,,
6277.0,6280.0,3.0,3,unknown,False,,,,
6280.0,6281.0,1.0,1,standing,True,,,,
6281.0,6341.0,60.0,60,unknown,False,,,,
6341.0,6344.0,3.0,3,back,False,track_0,,,
6344.0,6347.0,3.0,3,unknown,False,,,,
6347.0,6348.0,1.0,1,takedown,False,,,track_0,
6348.0,6361.0,13.0,13,unknown,False,,,,
6361.0,6362.0,1.0,1,back,False,track_0,,,
6362.0,6363.0,1.0,1,back,False,,,track_0,
6363.0,6380.0,17.0,17,unknown,False,,,,
6380.0,6381.0,1.0,1,standing,True,,,,
6381.0,6391.0,10.0,10,unknown,False,,,,
6391.0,6394.0,3.0,3,standing,True,,,,
6394.0,6398.0,4.0,4,unknown,False,,,,
6398.0,6399.0,1.0,1,open guard,False,,,track_0,
6399.0,6400.0,1.0,1,unknown,False,,,,
6400.0,6401.0,1.0,1,standing,True,,,,
6401.0,6465.0,64.0,64,unknown,False,,,,
6465.0,6466.0,1.0,1,back,False,track_0,,,
6466.0,6481.0,15.0,15,unknown,False,,,,
6481.0,6482.0,1.0,1,back,False,track_0,,,
6482.0,6487.0,5.0,5,unknown,False,,,,
