start,end,duration,samples,track_id,athlete_id,role,position
4913.0,4914.0,1.0,1,track_0,,unknown,unknown
4913.0,4914.0,1.0,1,track_1,,unknown,unknown
4914.0,4915.0,1.0,1,track_0,,unknown,unknown
4914.0,4915.0,1.0,1,track_1,,unknown,unknown
4915.0,4916.0,1.0,1,track_0,,unknown,unknown
4915.0,4916.0,1.0,1,track_1,,unknown,unknown
4916.0,4917.0,1.0,1,track_0,,unknown,unknown
4916.0,4917.0,1.0,1,track_1,,unknown,unknown
4917.0,4918.0,1.0,1,track_0,,unknown,unknown
4917.0,4918.0,1.0,1,track_1,,unknown,unknown
4918.0,4919.0,1.0,1,track_0,,unknown,unknown
4918.0,4919.0,1.0,1,track_1,,unknown,unknown
4919.0,4920.0,1.0,1,track_0,,unknown,unknown
4919.0,4920.0,1.0,1,track_1,,unknown,unknown
4920.0,4921.0,1.0,1,track_0,,unknown,unknown
4920.0,4921.0,1.0,1,track_1,,unknown,unknown
4921.0,4922.0,1.0,1,track_0,,unknown,unknown
4921.0,4922.0,1.0,1,track_1,,unknown,unknown
4922.0,4923.0,1.0,1,track_0,,unknown,unknown
4922.0,4923.0,1.0,1,track_1,,unknown,unknown
4923.0,4924.0,1.0,1,track_0,,unknown,unknown
4923.0,4924.0,1.0,1,track_1,,unknown,unknown
4924.0,4925.0,1.0,1,track_0,,unknown,unknown
4924.0,4925.0,1.0,1,track_1,,unknown,unknown
4925.0,4926.0,1.0,1,track_0,,unknown,unknown
4925.0,4926.0,1.0,1,track_1,,unknown,unknown
4926.0,4927.0,1.0,1,track_0,,unknown,unknown
4926.0,4927.0,1.0,1,track_1,,unknown,unknown
4927.0,4928.0,1.0,1,track_0,,unknown,unknown
4927.0,4928.0,1.0,1,track_1,,unknown,unknown
4928.0,4929.0,1.0,1,track_0,,unknown,unknown
4928.0,4929.0,1.0,1,track_1,,unknown,unknown
4929.0,4930.0,1.0,1,track_0,,unknown,unknown
4929.0,4930.0,1.0,1,track_1,,unknown,unknown
4930.0,4931.0,1.0,1,track_0,,unknown,unknown
4930.0,4931.0,1.0,1,track_1,,unknown,unknown
4931.0,4932.0,1.0,1,track_0,,unknown,unknown
4931.0,4932.0,1.0,1,track_1,,unknown,unknown
4932.0,4933.0,1.0,1,track_0,,unknown,unknown
4932.0,4933.0,1.0,1,track_1,,unknown,unknown
4933.0,4934.0,1.0,1,track_0,,unknown,unknown
4933.0,4934.0,1.0,1,track_1,,unknown,unknown
4934.0,4935.0,1.0,1,track_0,,unknown,unknown
4934.0,4935.0,1.0,1,track_1,,unknown,unknown
4935.0,4936.0,1.0,1,track_0,,unknown,unknown
4935.0,4936.0,1.0,1,track_1,,unknown,unknown
4936.0,4937.0,1.0,1,track_0,,unknown,unknown
